Province	Mall Chain	Branch
Songkhla	Big C	Hatyai
Songkhla	Central	Hatyai
Songkhla	Diana	Hatyai
Songkhla	Robinson	Hatyai
Sukhothai	Big C	Sukhothai
Surat Thani	Big C	Koh Samui
Surat Thani	Central	Samui
Surat Thani	Central	Surat Thani
Surat Thani	Lotus's	Surat Thani
Surin	Robinson	Surin
Tak	Lotus's	Tak
Tak	Robinson	Mae Sot
Trang	Big C	Trang
Trang	Robinson	Trang
Ubon Ratchathani	Central	Ubon
Ubon Ratchathani	Sunee Tower	Ubon Ratchathani
Udon Thani	Central	Udon
Udon Thani	Landmark Plaza	Udon Thani
Udon Thani	Lotus's	Rangsina
Udon Thani	Makro	Udon Thani
Uttaradit	Lotus's	Uttaradit
Yala	Big C	Yala
Yala	Lotus's	Yala
